初等部の初等部の学生。	初中部的學生
おいしそうなニオイに導かれて部室に辿りついたらしい。	被好聞的氣味所吸引、而來到了部室
本人は自分が何かの病気だと思っているが、	她也不知道自己究竟生什麼病
彼女の身体の中では尋常じゃないほどの精に対する欲求が渦巻いている	她的身體有著對精力不尋常的的慾望
昼休みに%CALLNAME:MASTER%が部室に向かうと、部室の前で見覚えの無い少女が座り込んでいた。	午休時%CALLNAME:MASTER%向部室走去、在部室前有一名面生的少女坐在那。
声をかけようとするが、その前に少女はパタリとその場で倒れてしまった……	想要向她問個話、但在那之前她便倒了下去
『ご主人様、どうかしましたか？……って、何ですかこの床』	『主人、怎麼啦？嗯……這個床』
既に部室にいたフェリシエルが出てくると、びしょ濡れの廊下を見てため息をついた。	已經在部室的弗理希艾爾、看到潮濕的走廊，嘆了口氣。
『ローショントラップですか、こんなイタズラには引っかかりませんよ？』		『潤滑液陷阱嗎、這種惡作劇對我沒用哦？』
%CALLNAME:MASTER%が身に覚えの無い罪を着せられてキョトンとしていると、	你正要因為被誤會而生氣時
倒れている少女に気づいたフェリシエルは少し何かを考える素振りを見せ、	對於倒在地上的少女、弗理希艾爾稍微思考了一下
おもむろに倒れている少女のスカートを捲り上げた。		便慢慢地將她的裙子給捲了上來
『見て下さいご主人様、普通じゃこんなのありえないですよ』	『主人請看、正常是不會這樣的吧』
フェリシエルが捲り上げた少女のスカートの中では、		少女的裙子下、
ぐしょぐしょになってるショーツの中から夥しい量の愛液が溢れ出ていた……	從內褲裡流出了大量的愛液……
『よくわからないですけど、とりあえずベッドで寝かせておきましょうか……』	『不明覺厲、不如先讓她在床上休息一下吧……』
『ご主人様も手伝ってくれますよね？』	『主人也要來幫忙嗎？』
%CALLNAME:MASTER%はフェリシエルと協力して、少女をベッドで寝かせてから床の掃除をした……	%CALLNAME:MASTER%在跟弗理希艾爾合作下、把少女要休息的床打掃了一下……
――しばらくすると少女は目を覚ました。	――不久、少女醒來了。
「あれ？ここは何処ですか？%CNAMET(ARG, "一人称")%は一体何を……」	「诶？這裡是哪裡？%CNAMET(ARG, "一人称")%到底怎麼了……」
『聞きたいのはこっちですよ……何で初等部の生徒がこんな所にいるんですか？』	『我才要問妳呢……為什麼初中部的會在這裡？』
%CALLNAME:MASTER%はここは自分の部活の部室であることを伝え、どうやってここに来たのかを尋ねた。	%CALLNAME:MASTER%說明了這裡是自己社團活動的教室、並詢問了她是怎麼到這裡的。
「そういえば……なんだか、おいしそうなニオイがしたんです……その後は、頭がボーっとして……」	「對了……我記得、有一種好聞的氣味……聞了之後、腦袋就發昏、記不清了……」
『おいしそうなニオイですか、それが何のニオイかは分かるんですか？』	『好聞的氣味？是什麼氣味妳知道嗎？』
少女は顔を真っ赤にしながら、やや俯きがちに答えた。	少女紅著臉、稍微低下頭並道。
「わからない……けど、多分、えっちなニオイ……だと、思います……」	「我不知道……但、應該是、H的氣味……我、是這樣想的……」
『ははぁ、えっちなニオイですか』	『哈哈、是H的氣味嗎』
『まぁ、貴女のほうも相当えっちなニオイですけどね』	『唉呦、妳的這裡也挺H啊』
フェリシエルはベッドで寝ている少女のスカートを捲り上げた！		弗理希艾爾將她的裙子給捲了上來！
ぴったりと閉じたツルツルの幼いワレメからは、溢れんばかりの愛液が垂れ流れている…	在幼小的縫隙里、不停流出愛液…
「いやっ！見ないでください……」	「不！不要看……」
『ご主人様、どうしますか？この子、放っておくと大変なことになると思いますよ』	『主人、要怎麼處理？這孩子、要是放任不管的話會很麻煩的』
『この子はほぼ人間ですが、僅かながら淫魔の力を感じますね』	『這孩子基本上是人類、不過能感覺到一點淫魔的力量』
『おそらく淫魔に呪われているか、人間と淫魔の子か孫ってところでしょうね』	『八成是被淫魔詛咒、抑或是人類和淫魔的子孫吧』
『もし助けてあげるならどうしてあげたら良いかなんて……ご主人様ならお分かりですよね？』	『要怎麼處理……主人懂吧？』
『貴女にはとりあえず自分の名前と、床とベッドを汚した事の言い訳でも言ってもらいましょうか』		『交代下妳的名字、還有弄髒床的理由』
「えっと……%CNAMET(ARG, "一人称")%は青空 鈴（あおぞら すず）って言います」	「那個……%CNAMET(ARG, "一人称")%叫青空 鈴（あおぞら すず）」
「部室を汚してしまってごめんなさい……」	「弄髒了部室、真對不起……」
「%CNAMET(ARG, "一人称")%のこの、えっと……えっちなお汁は、ここ最近でいっぱい溢れ出てくるようになっちゃって……」	「%CNAMET(ARG, "一人称")%、那個……H的液體、最近特別多……」
「努力はしてるんですが、自分じゃどうやっても治まらないんです……」	「我很努力了、但自己真的處理不來……」
「うぅ……%CNAMET(ARG, "一人称", "どもり")%はえっちじゃないのに……」	「%CNAMET(ARG, "一人称", "どもり")%才不色……」
『大体は察しが付きました。もしかしたらご主人様なら、鈴ちゃんの病気を治せるかもしれませんよ？』	『懂了。主人也許能治鈴的病？』
「本当ですか？でも、一体どうやって……？」	「真的？但、要怎麼做……？」
『昼休みの時間にここに来て、部活を見学すれば分かるようになりますよ』	『午休來這、來看看社團活動妳就懂了』
「……わかりました。じゃあ今度から昼休みになったらここに来ます」	「……好。那下次午休我會再來」
―%NAME:ARG%は部室に見学しに来るようになります。	―%NAME:ARG%開始來部室參觀了。
「ところで、下着は返してもらえないんでしょうか……」	「對了、能把內褲還給我嗎……」
『洗濯して乾いたら返してあげるので今は諦めてください』	『等洗完再還妳、現在別想了』
『代わりといっては何ですが、ここにある下着なら好きなのを借りてもいいですよ？』	『做為代替、妳自己拿個內褲去穿吧？』
フェリシエルが開けた棚には、Ｈな下着が並んでいる……	弗理希艾爾的衣櫃裡、全是H的內褲……
「うぅ……遠慮しておきます……」	「來……不用客氣……」
「あ……やっぱりするんですね……」	「唉……果然是這樣嗎……」
「フェリシエルさんがいろいろ教えてくれたんです」	「弗理希艾爾教了我很多」
「ここに来る人は、何らかの理由で%CNAME("二人称")%とえっちしなくちゃならないって」	「會來這裡的人、一定是有著不得不和%CNAME("二人称")%H的原因」
「そして%CNAME("一人称")%の身体はえっちなことしないといけない病気だって」	「然後%CNAME("一人称")%要是不H的話、就會生病」
「それも、普通の人間とは違うから抑えが効かなくなってるって」	「而且、自己壓制是無效的」
「%CNAME("一人称")%にとっては嘘っぽい話ですけど……」	「雖然%CNAME("一人称")%可能覺得是在胡扯……」
